거주지역_1,가전/가구/주방용품,보험/병원,사무통신/서적/학원,여행/레져/문화,요식업,용역/수리/건축자재,유통,보건위생,의류/신변잡화,자동차/연료/정비,가구,가전제품,건강식품,건물및시설관리,건축/자재,광학제품,농업,레져업소,레져용품,문화/취미,보건/위생,보험,사무/통신기기,서적/문구,수리서비스,숙박업,신변잡화,여행업,연료판매,용역서비스,유통업비영리,유통업영리,음식료품,의료기관,의류,일반/휴게음식,자동차정비/유지,자동차판매,주방용품,직물,학원,회원제형태업소
강원,10.391607435757244,187.5314379442318,46.54797703663204,82.98182066703116,313.77528704209954,106.27392017495899,799.0343083652269,26.016949152542374,23.24699289229087,159.62069436850737,5.2426189174412245,2.735101148168398,0.0,21.271186440677965,1.1461180973209404,1.1611536358665937,2.810278840896665,27.744669218151994,16.384636413340623,5.049207217058502,12.933980317113177,39.2502733734281,0.7121377802077639,5.15103881902679,2.192454893384363,4.481273920174959,6.889010388190268,10.453799890650629,85.61098961180973,106.07094040459268,45.394341170038274,226.09691088026244,49.75806451612903,82.0154455986878,18.435620557681794,127.3284581738655,34.68151995626025,1.8425369054127938,7.280617823947512,2.1958720612356477,50.91443411700383,4.285128485511208
경기,8.490947787003458,212.17606659292346,59.520085691482656,80.3839664515045,350.2845181254288,104.5740979291225,900.9056413559417,25.745564905697364,18.719073355829682,115.33653509570283,5.373990114675366,2.388405046276201,0.0,35.00133017824388,0.6808412327251852,1.2648244864811884,0.5183144541368543,36.75937075568126,10.051806942130245,5.155070779484451,13.507434996289502,34.8703776306025,0.8640207787843571,6.686631008555146,2.276109998739831,4.046927288256627,5.473228412607289,9.176794690488526,63.88979123202509,107.68597992130945,15.87693750962629,249.01423290720956,53.879779890505326,102.36159145325473,14.741210322183173,138.46420420336324,23.382328231983085,1.4280863635727188,4.334595835842003,1.5449670255814278,69.1305184894776,6.152809476469847
경남,9.625536341178,211.53751137693408,46.18807697308542,71.88597061500455,302.03517097906644,106.18125081263815,797.8582108958523,25.569171759199065,16.725068261604473,179.39214666493305,4.406774151605773,2.6755298400728122,0.0,29.768885710570796,0.9121050578598362,0.7629046937979457,2.0481731894422053,28.237550383565207,11.54466259264075,3.8580808737485373,11.424067091405538,46.31907424262125,0.7073202444415551,6.333376674034586,2.127161617474971,3.532700559095046,4.922311793004811,9.066441295020153,92.47432063450786,107.57541282017944,22.781172799375895,233.09777662202575,51.234234819919386,88.41112989208166,12.67130412170069,122.29293979976596,37.76947081003771,1.62170068911715,6.375633857755819,1.2114809517617995,47.766870367962554,4.94604082694058
경북,9.796106439350305,208.71788964405022,47.75793879353377,77.31175363821373,303.84364320546786,106.70045693660485,776.0165879506969,23.19433245017855,19.486234304803595,200.65545444073263,4.784779019314211,2.826095303920439,0.0,26.056905886418615,0.9614867718772799,0.662366086856353,1.9544599316514994,27.893099873286488,15.11615405291249,3.9914756364474138,11.209154091310525,46.23507276427447,0.8547402372998503,5.158007909995009,2.1691049418269785,3.856698537034904,5.73397842030488,9.422877548669508,100.98490957262989,107.21383865146105,24.173098337365126,228.4602388357716,54.8189532695926,87.34093614406942,15.338862650232308,121.2897899627539,42.67711093192028,1.8477133970740698,5.546212033943862,1.539377183888185,50.27723380562915,4.87808624198441
광주,8.44244626470407,210.61649319455563,51.007575291002034,77.82287368356224,299.77335714725626,103.38301410359057,796.1600049270186,24.1276097801318,15.679004742255342,155.49116216049762,3.9847262425324876,2.5183223501878427,0.0,26.1834082650736,1.1258237359118064,0.8166533226581265,0.8357455194925171,34.259407526020816,10.708258914824167,3.700190921968344,11.930775389542402,49.70992178358071,1.1498429512841042,6.424832173431053,2.2134630781548315,3.559155016320749,2.9094044466342304,10.348586561556937,78.78179466650244,103.44213832604545,14.605530578308802,229.5879780747675,57.44965202931576,80.82527560509946,14.311141220668842,116.70320872082281,33.42058261994211,1.3536983432900167,5.463447681221901,2.0206934778592105,53.80981708443678,5.563835683931761
대구,7.629042138182287,191.51078440855014,47.22958377663862,71.60686075378018,267.3714414675823,98.6027017442048,736.698262243286,19.606989715317408,13.383950736692782,127.12125608537254,4.030048038172615,2.1452751716800464,0.0,31.086500951091338,0.6228842247799594,0.8282554728052358,0.45942547635167813,29.112744623915916,8.898668472128188,3.2504755456685044,9.645033368797757,38.086533191475645,0.6860753780185059,5.346100525518264,1.7177676757906954,3.282071122287778,3.2182351613631233,10.848566914917626,66.58574330206017,101.95408969274914,7.473321081987297,223.97169294257986,44.56394880226972,85.03014475932554,11.080375278073314,110.76280749266532,23.835316116968116,1.3747299867814424,4.070026114711287,1.1583970080923365,51.046522874552664,5.85356417448496
대전,7.31303612419959,180.9840521928235,50.97076235350973,80.52978132173493,310.36305424670775,99.96435906729491,815.5104506463695,20.84511296363417,17.58366557931618,126.90407152349886,4.281140509846563,2.2435665096049293,0.0,25.25975595022351,0.6040836051709556,0.9369336716201522,0.6638878820828803,29.93777938866739,8.999033466231726,3.8800289960130483,11.483629334299867,39.25878941645524,0.9097499093874593,5.736377914703395,2.0472393379243687,4.4671982602392175,5.097257460432524,12.645886190648786,67.6851516249849,101.83460190890419,13.759816358584027,229.93053038540535,55.68080222302767,77.84221336232935,13.454150054367524,120.36426241391808,27.611453425154043,1.539809109580766,3.940437356530144,1.5996133864926907,55.6282469493778,5.629455116588136
부산,8.082204034169685,206.69707947582629,42.59336285164811,73.77767342009929,276.7024464421486,103.28614875441657,761.2771143611074,23.977369292007694,12.603649537099155,118.7358558075048,4.706605841048347,2.3189766984212175,0.0,34.246612102509054,0.6382217451585491,0.8669886846460039,0.4306990473634778,28.74278813900443,7.962565409902053,3.257077686837515,10.877722617290576,39.05094145534237,0.7717250324254216,5.3086005635314635,1.9039313028310747,3.5319110872579276,2.9873876291426273,12.40395366519075,60.74913904915247,107.19128762467015,6.13645511874413,228.209669484324,42.86551276890737,91.94574891542555,11.020394472024687,114.58897982915157,26.196386242676326,1.232836888948522,3.94695648284807,1.8008408247238248,46.66129970034438,5.02549309003086
서울,7.675869377587921,212.85906778395662,56.97370289847156,87.6561310739895,368.99407486716706,103.09235850877481,888.4292389099504,27.297527613595395,18.679536623293384,81.4323016245862,4.6186902069608475,2.180973295022087,0.0,35.88409027178406,0.5763803155943523,1.2833174917059065,0.3521575568204579,40.703222587611485,9.74944736391678,4.895463467750452,14.304479720896017,29.353698018521957,0.8951429934484856,6.320736508213975,2.212729384944263,4.309833098440237,4.852454359725121,11.38892834121773,46.77679329043348,107.59054309468924,12.778184440244289,246.954875033231,55.51907732535061,108.28852155735943,16.281915416634803,142.6623766811244,16.204528156216654,1.3134712101182477,3.7837089801997865,1.4868186734548952,68.10257362715,7.224546874829293
세종,7.421234098204732,185.28117940791822,67.92058019260492,84.71287599571988,305.8435382237546,100.86672214956604,863.107834978005,21.127095470217572,18.482939008441328,127.58173819997621,4.506004042325526,2.247057424800856,0.0,23.42527642373083,0.5231244798478183,0.8762335037450957,1.123528712400428,31.322078230888124,9.426940910712162,4.131494471525383,11.627630483890144,40.291285221733446,0.5052906907620972,7.1989061942694095,2.1543217215551063,4.832956842230413,5.772203067411723,12.027107359410296,69.73724884080372,101.9759838306979,15.348947806443942,238.58637498513852,53.522767804066106,80.7288075139698,13.839020330519558,120.88693377719653,24.922125787659017,1.6680537391511117,4.057781476637737,1.9189157056235882,79.56366662703603,4.024491737011057
